id	route	name	reference	status	level	funding	duration	core_options	eqa	link	last_updated
12	Construction	Asbestos removal operative	ST0819	Approved for delivery	2	6000	12	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/asbestos-removal-operative-v1-0	24/08/2020
13	Business and administration	Operational research specialist	ST0884	Approved for delivery	7	14000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/operational-research-specialist-v1-0	24/08/2020
14	Engineering and manufacturing	Knitted product manufacturing technician	ST0910	Approved for delivery	3	11000	24	0	UK Fashion & Textile Association (UKFT)	https://www.instituteforapprenticeships.org/apprenticeship-standards/knitted-product-manufacturing-technician-v1-0	24/08/2020
15	Engineering and manufacturing	Construction equipment maintenance mechanic	ST0805	Approved for delivery	2	10000	24	0	Construction Industry Training Board (CITB)	https://www.instituteforapprenticeships.org/apprenticeship-standards/construction-equipment-maintenance-mechanic-v1-0	07/08/2020
16	Engineering and manufacturing	Power and propulsion gas turbine engineer	ST0790	Approved for delivery	7	16000	36	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/power-and-propulsion-gas-turbine-engineer-v1-0	07/08/2020
17	Agriculture, environmental and animal care	Countryside ranger	ST0926	Approved for delivery	4	9000	26	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/countryside-ranger-v1-0	07/08/2020
18	Health and science	Forensic collision investigator (integrated degree)	ST0850	Approved for delivery	6	27000	42	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/forensic-collision-investigator-(integrated-degree)-v1-0	07/08/2020
19	Creative and design	Senior journalist	ST0286	Approved for delivery	7	14000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/senior-journalist-v1-0	07/08/2020
20	Health and science	Clinical dental technician	ST0543	Approved for delivery	5	14000	24	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/clinical-dental-technician-v1-0	10/07/2020
21	Agriculture, environmental and animal care	Agriculture or horticulture professional adviser	ST0761	Approved for delivery	6	14000	30	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/agriculture-or-horticulture-professional-adviser-v1-0	10/07/2020
22	Engineering and manufacturing	Ordnance munitions and explosives specialist (degree)	ST0834	Approved for delivery	7	24000	36	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/ordnance-munitions-and-explosives-specialist-(degree)-v1-0	10/07/2020
23	Sales, marketing and procurement	Fundraiser	ST0887	Approved for delivery	3	8000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/fundraiser-v1-0	10/07/2020
24	Digital	Data technician	ST0795	Approved for delivery	3	12000	24	0	National Skills Academy for Rail (NSAR)	https://www.instituteforapprenticeships.org/apprenticeship-standards/data-technician-v1-0	10/07/2020
25	Construction	Construction plant operative	ST0736	Approved for delivery	2	14000	15	0	Construction Industry Training Board (CITB)	https://www.instituteforapprenticeships.org/apprenticeship-standards/construction-plant-operative-v1-0	10/07/2020
26	Engineering and manufacturing	Lift truck and powered access engineering technician	ST0387	Approved for delivery	3	14000	36	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/lift-truck-and-powered-access-engineering-technician-v1-0	10/07/2020
27	Engineering and manufacturing	Metal recycling technical manager (MRTM)	ST0823	Approved for delivery	5	16000	30	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/metal-recycling-technical-manager-(mrtm)-v1-0	10/07/2020
28	Creative and design	Camera prep technician	ST0900	Approved for delivery	3	11000	24	0	National Skills Academy for Rail (NSAR)	https://www.instituteforapprenticeships.org/apprenticeship-standards/camera-prep-technician-v1-0	10/07/2020
29	Creative and design	Junior advertising creative	ST0925	Approved for delivery	3	6000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/junior-advertising-creative-v1-0	10/07/2020
30	Agriculture, environmental and animal care	Underkeeper	ST0412	Approved for delivery	2	7000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/underkeeper-v1-0	10/07/2020
31	Engineering and manufacturing	Tool process design engineer	ST0641	Approved for delivery	6	22000	48	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/tool-process-design-engineer-v1-0	10/07/2020
32	Health and science	Health and Care Intelligence Specialist	ST0830	Approved for delivery	7	17000	36	0	Academy for Healthcare Science (AHCS)	https://www.instituteforapprenticeships.org/apprenticeship-standards/health-and-care-intelligence-specialist-v1-0	10/07/2020
33	Health and science	Hygiene specialist	ST0873	Approved for delivery	4	12000	24	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/hygiene-specialist-v1-0	10/07/2020
34	Protective services	Serious and complex crime investigator (integrated degree)	ST0512	Approved for delivery	6	19000	30	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/serious-and-complex-crime-investigator-(integrated-degree)-v1-0	03/07/2020
35	Business and administration	Trade union official	ST0815	Approved for delivery	4	5000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/trade-union-official-v1-0	23/06/2020
36	Engineering and manufacturing	Water network operative	ST0898	Approved for delivery	2	6000	18	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/water-network-operative-v1-0	17/06/2020
37	Agriculture, environmental and animal care	Florist	ST0538	Approved for delivery	2	5000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/florist-v1-0	10/06/2020
38	Creative and design	Historic environment advisor	ST0831	Approved for delivery	7	15000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/historic-environment-advisor-v1-0	09/06/2020
39	Construction	Landscape technician	ST0741	Approved for delivery	3	9000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/landscape-technician-v1-0	04/06/2020
40	Agriculture, environmental and animal care	Sustainability business specialist (integrated degree)	ST0748	Approved for delivery	7	11000	24	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/sustainability-business-specialist--(integrated-degree)-v1-0	21/05/2020
41	Construction	Telecoms field operative	ST0832	Approved for delivery	2	7000	15	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/telecoms-field-operative-v1-0	13/05/2020
42	Business and administration	Systems thinking practitioner	ST0787	Approved for delivery	7	18000	30	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/systems-thinking-practitioner-v1-0	13/05/2020
43	Digital	Artificial intelligence (AI) data specialist	ST0763	Approved for delivery	7	17000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/artificial-intelligence-(ai)-data-specialist-v1-0	13/05/2020
44	Engineering and manufacturing	Ordnance munitions explosives technician	ST0833	Approved for delivery	4	9000	30	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/ordnance-munitions-explosives-technician-v1-0	13/05/2020
45	Digital	Cyber security technician	ST0865	Approved for delivery	3	11000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/cyber-security-technician-v1-0	13/05/2020
46	Engineering and manufacturing	Compressed air and vacuum technician	ST0817	Approved for delivery	3	14000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/compressed-air-and-vacuum-technician-v1-0	13/05/2020
47	Business and administration	Coaching professional	ST0809	Approved for delivery	5	5000	14	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/coaching-professional-v1-0	13/05/2020
48	Creative and design	Junior animator	ST0488	Approved for delivery	4	11000	18	1	National Skills Academy for Rail (NSAR)	https://www.instituteforapprenticeships.org/apprenticeship-standards/junior-animator-v1-0	13/05/2020
49	Hair and beauty	Advanced beauty therapist	ST0211	Approved for delivery	3	8000	18	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/advanced-beauty-therapist-v1-0	13/05/2020
50	Creative and design	Curator	ST0782	Approved for delivery	7	12000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/curator-v1-0	27/04/2020
51	Agriculture, environmental and animal care	Golf course manager	ST0208	Approved for delivery	5	17000	36	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/golf-course-manager-v1-0	07/04/2020
52	Legal, finance and accounting	Debt adviser	ST0766	Approved for delivery	3	6000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/debt-adviser-v1-0	02/04/2020
53	Care services	Lead practitioner in adult care	ST0007	Approved for delivery	4	7000	18	0	National Skills Academy for Rail (NSAR)	https://www.instituteforapprenticeships.org/apprenticeship-standards/lead-practitioner-in-adult-care-v1-0	31/03/2020
54	Education and childcare	Early years practitioner	ST0888	Approved for delivery	2	4000	12	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/early-years-practitioner-v1-0	26/03/2020
55	Engineering and manufacturing	Stairlift, platform lift, service lift electromechanic	ST0251	Approved for delivery	2	11000	24	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/stairlift,-platform-lift,-service-lift-electromechanic-v1-0	19/03/2020
56	Digital	DevOps engineer	ST0825	Approved for delivery	4	17000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/devops-engineer-v1-0	12/03/2020
57	Creative and design	Broadcast and media systems technician	ST0425	Approved for delivery	5	15000	24	0	National Skills Academy for Rail (NSAR)	https://www.instituteforapprenticeships.org/apprenticeship-standards/broadcast-and-media-systems-technician-v1-0	06/03/2020
58	Catering and hospitality	Senior culinary chef	ST0864	Approved for delivery	4	9000	24	0	People 1st International	https://www.instituteforapprenticeships.org/apprenticeship-standards/senior-culinary-chef-v1-0	25/02/2020
59	Creative and design	Blacksmith	ST0378	Approved for delivery	3	21000	48	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/blacksmith-v1-0	03/02/2020
60	Agriculture, environmental and animal care	Countryside worker	ST0408	Approved for delivery	2	4000	12	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/countryside-worker-v1-0	03/02/2020
61	Care services	Leader in adult care	ST0008	Approved for delivery	5	7000	18	0	National Skills Academy for Rail (NSAR)	https://www.instituteforapprenticeships.org/apprenticeship-standards/leader-in-adult-care-v1-0	03/02/2020
62	Creative and design	Registrar (creative and cultural)	ST0590	Approved for delivery	6	16000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/registrar-(creative-and-cultural)-v1-0	03/02/2020
63	Hair and beauty	Advanced and creative hair professional	ST0214	Approved for delivery	3	5000	12	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/advanced-and-creative-hair-professional-v1-0	03/02/2020
64	Agriculture, environmental and animal care	Advanced golf greenkeeper	ST0207	Approved for delivery	3	7000	24	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/advanced-golf-greenkeeper-v1-0	03/02/2020
65	Health and science	Healthcare cleaning operative	ST0843	Approved for delivery	2	4000	12	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/healthcare-cleaning-operative-v1-0	03/02/2020
66	Construction	BEMS (building energy management systems) controls engineer	ST0629	Approved for delivery	4	15000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/bems-(building-energy-management-systems)-controls-engineer-v1-0	03/02/2020
67	Creative and design	Clock maker	ST0447	Approved for delivery	3	21000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/clock-maker-v1-0	03/02/2020
68	Digital	Creative digital design professional (integrated degree)	ST0625	Approved for delivery	6	25000	36	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/creative-digital-design-professional-(integrated-degree)-v1-0	03/02/2020
69	Construction	Curtain wall installer	ST0802	Approved for delivery	3	8000	21	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/curtain-wall-installer-v1-0	03/02/2020
70	Creative and design	Storyboard artist	ST0489	Approved for delivery	7	15000	18	0	National Skills Academy for Rail (NSAR)	https://www.instituteforapprenticeships.org/apprenticeship-standards/storyboard-artist-v1-0	03/02/2020
71	Digital	Digital user experience (UX) professional (integrated degree)	ST0470	Approved for delivery	6	24000	48	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/digital-user-experience-(ux)-professional-(integrated-degree)-v1-0	03/02/2020
72	Business and administration	Information manager	ST0762	Approved for delivery	4	7000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/information-manager-v1-0	03/02/2020
73	Legal, finance and accounting	Senior professional economist (integrated degree)	ST0796	Approved for delivery	7	11000	24	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/senior-professional-economist-(integrated-degree)-v1-0	20/12/2019
74	Creative and design	Creative industries production manager	ST0525	Approved for delivery	7	8000	18	1	National Skills Academy for Rail (NSAR)	https://www.instituteforapprenticeships.org/apprenticeship-standards/creative-industries-production-manager-v1-0	18/12/2019
75	Transport and logistics	Harbour master	ST0765	Approved for delivery	6	23000	48	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/harbour-master-v1-0	18/12/2019
76	Construction	Plasterer	ST0096	Approved for delivery	2	10000	36	1	Construction Industry Training Board (CITB)	https://www.instituteforapprenticeships.org/apprenticeship-standards/plasterer-v2-0	18/12/2019
77	Creative and design	Assistant puppet maker	ST0476	Approved for delivery	3	13000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/assistant-puppet-maker-v1-0	18/12/2019
78	Protective services	Fire safety inspector	ST0746	Approved for delivery	4	8000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/fire-safety-inspector-v1-0	20/11/2019
79	Engineering and manufacturing	Textile technical specialist	ST0581	Approved for delivery	4	9000	24	1	UK Fashion & Textile Association (UKFT)	https://www.instituteforapprenticeships.org/apprenticeship-standards/textile-technical-specialist-v1-0	07/11/2019
80	Health and science	Specialist community and public health nurse	ST0697	Approved for delivery	7	13000	18	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/specialist-community-and-public-health-nurse-v1-0	05/11/2019
81	Engineering and manufacturing	Engineering manufacturing technician	ST0841	Approved for delivery	4	21000	42	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/engineering-manufacturing-technician-v1-0	05/11/2019
82	Transport and logistics	Boatmaster	ST0621	Approved for delivery	3	24000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/boatmaster-v1-0	04/11/2019
83	Engineering and manufacturing	Lifting equipment technician	ST0872	In development	3	0	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/lifting-equipment-technician	16/10/2019
84	Transport and logistics	Express delivery manager (degree)	ST0471	Approved for delivery	6	22000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/express-delivery-manager-(degree)-v1-0	30/09/2019
85	Health and science	Physician associate (degree)	ST0518	Approved for delivery	7	17000	30	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/physician-associate-(degree)-v1-0	30/09/2019
86	Construction	Roofer	ST0270	Approved for delivery	2	11000	24	1	Construction Industry Training Board (CITB)	https://www.instituteforapprenticeships.org/apprenticeship-standards/roofer-v1-0	30/09/2019
87	Construction	Smart home technician	ST0464	Approved for delivery	3	9000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/smart-home-technician-v1-0	30/09/2019
88	Engineering and manufacturing	Bespoke furniture maker	ST0639	Approved for delivery	3	10000	24	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/bespoke-furniture-maker-v1-0	30/09/2019
89	Health and science	Health play specialist	ST0829	Approved for delivery	5	13000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/health-play-specialist-v1-0	30/09/2019
90	Agriculture, environmental and animal care	Water environment worker	ST0767	Approved for delivery	3	12000	18	1	TBC - Chartered Institution of Water and Environmental Management	https://www.instituteforapprenticeships.org/apprenticeship-standards/water-environment-worker-v1-0	30/09/2019
91	Protective services	Counter fraud investigator	ST0747	Approved for delivery	4	15000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/counter-fraud-investigator-v1-0	30/09/2019
92	Health and science	District nurse	ST0709	Approved for delivery	7	11000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/district-nurse-v1-0	30/09/2019
93	Health and science	Public health practitioner (integrated degree)	ST0631	Approved for delivery	6	20000	36	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/public-health-practitioner-(integrated-degree)-v1-0	30/09/2019
94	Engineering and manufacturing	Advanced upholsterer	ST0656	Approved for delivery	3	10000	24	1	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/advanced-upholsterer-v1-0	30/09/2019
95	Construction	Design and construction management (degree)	ST0044	Approved for delivery	6	18000	48	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/design-and-construction-management-(degree)-v1-0	27/09/2019
96	Care services	Church minister (integrated degree)	ST0527	Approved for delivery	6	13000	36	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/church-minister-(integrated-degree)-v1-0	27/09/2019
97	Engineering and manufacturing	Advanced furniture CNC technician	ST0655	Approved for delivery	3	11000	24	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/advanced-furniture-cnc-technician-v1-0	27/09/2019
98	Engineering and manufacturing	Fenestration fabricator	ST0744	Approved for delivery	2	6000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/fenestration-fabricator-v1-0	27/09/2019
99	Engineering and manufacturing	Garment maker	ST0846	Approved for delivery	3	10000	24	1	UK Fashion & Textile Association (UKFT)	https://www.instituteforapprenticeships.org/apprenticeship-standards/garment-maker-v1-0	27/09/2019
100	Construction	Fenestration installer	ST0743	Approved for delivery	2	6000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/fenestration-installer-v1-0	27/09/2019
101	Engineering and manufacturing	New furniture product developer	ST0793	Approved for delivery	3	10000	24	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/new-furniture-product-developer-v1-0	27/09/2019
102	Creative and design	Props technician	ST0174	Approved for delivery	3	6000	18	0	National Skills Academy for Rail (NSAR)	https://www.instituteforapprenticeships.org/apprenticeship-standards/props-technician-v1-0	20/09/2019
103	Construction	Construction design and build technician	ST0043	Approved for delivery	4	9000	36	0	Construction Industry Training Board (CITB)	https://www.instituteforapprenticeships.org/apprenticeship-standards/construction-design-and-build-technician-v1-0	13/09/2019
104	Construction	Construction site management (degree)	ST0047	Approved for delivery	6	18000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/construction-site-management-(degree)-v1-0	06/09/2019
105	Construction	Construction site supervisor	ST0048	Approved for delivery	4	9000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/construction-site-supervisor-v1-0	06/09/2019
106	Engineering and manufacturing	Mineral products technician	ST0605	Approved for delivery	5	16000	36	1	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/mineral-products-technician-v1-0	28/08/2019
107	Engineering and manufacturing	Fitted furniture design technician	ST0654	Approved for delivery	3	7000	18	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/fitted-furniture-design-technician-v1-0	23/08/2019
108	Engineering and manufacturing	Through life engineering services specialist (integrated degree)	ST0740	Approved for delivery	7	17000	24	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/through-life-engineering-services-specialist-(integrated-degree)-v1-0	21/08/2019
109	Protective services	Probation services practitioner	ST0494	Approved for delivery	3	3500	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/probation-services-practitioner-v1-0	20/08/2019
110	Protective services	Probation officer	ST0648	Approved for delivery	6	21000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/probation-officer-v1-0	20/08/2019
111	Transport and logistics	Air traffic controller	ST0595	Approved for delivery	5	27000	15	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/air-traffic-controller-v1-0	16/08/2019
112	Health and science	Sonographer (integrated degree)	ST0554	Approved for delivery	6	19000	36	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/sonographer-(integrated-degree)-v1-0	16/08/2019
113	Digital	Digital community manager	ST0345	Approved for delivery	4	13000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/digital-community-manager-v1-0	14/08/2019
114	Agriculture, environmental and animal care	Keeper and aquarist	ST0789	Approved for delivery	3	7000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/keeper-and-aquarist-v1-0	05/08/2019
115	Engineering and manufacturing	Lean manufacturing operative	ST0420	Approved for delivery	2	6000	12	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/lean-manufacturing-operative-v1-0	25/07/2019
116	Legal, finance and accounting	Accounts or finance assistant	ST0608	Approved for delivery	2	6000	12	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/accounts-or-finance-assistant-v1-0	19/07/2019
117	Health and science	Advanced forensic practitioner (custody or sexual offence)	ST0788	Approved for delivery	7	4000	12	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/advanced-forensic-practitioner-(custody-or-sexual-offence)-v1-0	19/07/2019
118	Engineering and manufacturing	Plate welder	ST0852	Approved for delivery	3	27000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/plate-welder-v1-0	19/07/2019
119	Engineering and manufacturing	Pipe welder	ST0851	Approved for delivery	3	27000	48	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/pipe-welder-v1-0	19/07/2019
120	Sales, marketing and procurement	Assistant buyer and assistant merchandiser	ST0668	Approved for delivery	6	10000	24	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/assistant-buyer-and-assistant-merchandiser-v1-0	16/07/2019
121	Construction	Construction quantity surveyor (degree)	ST0045	Approved for delivery	6	18000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/construction-quantity-surveyor-(degree)-v1-0	11/07/2019
122	Health and science	Associate continuing healthcare practitioner	ST0786	Approved for delivery	5	10000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/associate-continuing-healthcare-practitioner-v1-0	11/07/2019
123	Creative and design	Archaeological specialist (degree)	ST0769	Approved for delivery	7	15000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/archaeological-specialist-(degree)-v1-0	11/07/2019
124	Agriculture, environmental and animal care	Farrier	ST0172	Approved for delivery	3	15000	42	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/farrier-v1-0	04/07/2019
125	Construction	Construction assembly and installation operative	ST0265	Approved for delivery	2	13000	18	0	Construction Industry Training Board (CITB)	https://www.instituteforapprenticeships.org/apprenticeship-standards/construction-assembly-and-installation-operative-v1-0	03/07/2019
126	Construction	Construction quantity surveying technician	ST0049	Approved for delivery	4	8000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/construction-quantity-surveying-technician-v1-0	03/07/2019
